id,militantorg
1,seventeen
2,Amal
3,Hezbollah
4,Jammoul
5,SBO
6,SSNP
7,Unknown_Iran
8,al-Gama'a_al-'Arablyya_Misr
9,al-Hezb_ash-Shu'aye_al-Lubnani
10,al-Mourabitoun
11,LTTE
12,PFPL
13,EIJ
14,Hamas
15,PIJ
16,Babbar_Khaslsa_International
17,GIA
18,Hezbollah_Gulf
19,Unknown_in_Morocco
20,al-Gama'a_al-Islamiyya
21,Harakat_ul_Ansar
22,PKK
23,Unknown_in_China
24,Unknown_in_India
25,Unknown_in_Pakistan
26,al-Qaeda
27,LeT
28,TIKKO
29,Unaffiliated_Individual_Finland
30,Unknown_in_Iraq
31,Fatah
32,JeM
33,SPIR
34,Unknown_Phillippines
35,DHKP-C
36,IMU
37,Islami_Chhatra_Shibir
38,JI
39,PFLP
40,Taliban
41,DFLP
42,RSMB
43,Ansar_al-Islam
44,Ansar_al-Sunnah
45,Former-Iraqi_Ba'athists
46,LeJ
47,al-Asssirat_al-Moustaquim
48,al-Medinah_Regiment
49,al-Tawhid_wal-Jihad
50,AQA
51,AQI
52,Harakat_ul_Mujahedin
53,IAI
54,IJG
55,Kitaeb_Thourat_al-'Ashrin
56,Unknown_in_Bolivia
57,Unknown_in_Estonia
58,Unknown_in_Italy
59,AASB
60,Islamic_Glory_Brigades_Land_of_the_Nile
61,Jaish_al_Mujahedin
62,Jamaat_ul_Murjahedin_Bangladesh
63,Jund_al-Sahaba
64,Jund_al-Sham
65,PRC
66,Sipah-e_Sahaba
67,Unaffiliated_Individual_China
68,al-Nosra
69,al-Qaeda_inspired_Individual
70,AQI/MSC/ISIraq
71,Hizb_ul-Mujahedin
72,IJY
73,Ittihad_al-Mahakin_al-Islamiyya
74,Supporters_of_the_Sunni_Community
75,Tehrik-e_Taliban
76,Unaffiliated_Individual_China_A
77,Unaffiliated_Individual_China_B
78,Unknown_Turkey
79,Unknown_in_Afghanistan
80,Unknown_in_Finland
