id,militantorg
seventeen,seventeen
Amal,Amal
Hezbollah,Hezbollah
Jammoul,Jammoul
SBO,SBO
SSNP,SSNP
Unknown_Iran,Unknown_Iran
al-Gama'a_al-'Arablyya_Misr,al-Gama'a_al-'Arablyya_Misr
al-Hezb_ash-Shu'aye_al-Lubnani,al-Hezb_ash-Shu'aye_al-Lubnani
al-Mourabitoun,al-Mourabitoun
LTTE,LTTE
PFPL,PFPL
EIJ,EIJ
Hamas,Hamas
PIJ,PIJ
Babbar_Khaslsa_International,Babbar_Khaslsa_International
GIA,GIA
Hezbollah_Gulf,Hezbollah_Gulf
Unknown_in_Morocco,Unknown_in_Morocco
al-Gama'a_al-Islamiyya,al-Gama'a_al-Islamiyya
Harakat_ul_Ansar,Harakat_ul_Ansar
PKK,PKK
Unknown_in_China,Unknown_in_China
Unknown_in_India,Unknown_in_India
Unknown_in_Pakistan,Unknown_in_Pakistan
al-Qaeda,al-Qaeda
LeT,LeT
TIKKO,TIKKO
Unaffiliated_Individual_Finland,Unaffiliated_Individual_Finland
Unknown_in_Iraq,Unknown_in_Iraq
Fatah,Fatah
JeM,JeM
SPIR,SPIR
Unknown_Phillippines,Unknown_Phillippines
DHKP-C,DHKP-C
IMU,IMU
Islami_Chhatra_Shibir,Islami_Chhatra_Shibir
JI,JI
PFLP,PFLP
Taliban,Taliban
DFLP,DFLP
RSMB,RSMB
Ansar_al-Islam,Ansar_al-Islam
Ansar_al-Sunnah,Ansar_al-Sunnah
Former-Iraqi_Ba'athists,Former-Iraqi_Ba'athists
LeJ,LeJ
al-Asssirat_al-Moustaquim,al-Asssirat_al-Moustaquim
al-Medinah_Regiment,al-Medinah_Regiment
al-Tawhid_wal-Jihad,al-Tawhid_wal-Jihad
AQA,AQA
AQI,AQI
Harakat_ul_Mujahedin,Harakat_ul_Mujahedin
IAI,IAI
IJG,IJG
Kitaeb_Thourat_al-'Ashrin,Kitaeb_Thourat_al-'Ashrin
Unknown_in_Bolivia,Unknown_in_Bolivia
Unknown_in_Estonia,Unknown_in_Estonia
Unknown_in_Italy,Unknown_in_Italy
AASB,AASB
Islamic_Glory_Brigades_Land_of_the_Nile,Islamic_Glory_Brigades_Land_of_the_Nile
Jaish_al_Mujahedin,Jaish_al_Mujahedin
Jamaat_ul_Murjahedin_Bangladesh,Jamaat_ul_Murjahedin_Bangladesh
Jund_al-Sahaba,Jund_al-Sahaba
Jund_al-Sham,Jund_al-Sham
PRC,PRC
Sipah-e_Sahaba,Sipah-e_Sahaba
Unaffiliated_Individual_China,Unaffiliated_Individual_China
al-Nosra,al-Nosra
al-Qaeda_inspired_Individual,al-Qaeda_inspired_Individual
AQI/MSC/ISIraq,AQI/MSC/ISIraq
Hizb_ul-Mujahedin,Hizb_ul-Mujahedin
IJY,IJY
Ittihad_al-Mahakin_al-Islamiyya,Ittihad_al-Mahakin_al-Islamiyya
Supporters_of_the_Sunni_Community,Supporters_of_the_Sunni_Community
Tehrik-e_Taliban,Tehrik-e_Taliban
Unaffiliated_Individual_China_A,Unaffiliated_Individual_China_A
Unaffiliated_Individual_China_B,Unaffiliated_Individual_China_B
Unknown_Turkey,Unknown_Turkey
Unknown_in_Afghanistan,Unknown_in_Afghanistan
Unknown_in_Finland,Unknown_in_Finland
