source,target,weight
1,3,1
2,3,1
2,2,1
3,17,1
3,2,1
3,4,2
3,5,2
3,6,2
3,14,4
3,15,4
3,26,1
3,43,1
3,44,1
3,3,1
3,68,1
3,65,1
3,31,2
3,49,1
4,3,1
4,5,2
4,6,3
4,9,1
4,12,1
4,10,1
5,3,1
5,4,2
5,6,2
5,9,1
5,5,1
6,3,2
6,4,3
6,5,2
6,9,1
6,10,1
6,12,1
7,7,1
8,8,1
9,4,1
9,5,1
9,6,1
9,10,1
10,4,1
10,6,1
10,9,1
11,11,10
11,22,4
12,4,1
12,6,1
13,13,1
13,20,1
13,18,1
14,15,13
14,31,7
14,39,4
14,26,1
14,65,1
14,3,5
15,14,13
15,3,5
15,39,4
15,41,1
15,31,7
16,16,1
17,26,1
17,17,1
18,13,1
19,19,1
20,13,1
21,21,1
22,28,4
22,11,1
23,23,4
24,24,1
25,25,4
26,73,1
26,17,1
26,32,6
26,27,5
26,46,4
26,36,1
26,38,6
26,40,6
26,42,5
26,14,1
26,47,1
26,49,2
26,50,2
26,51,2
26,54,2
26,52,1
26,64,1
26,62,1
26,60,1
26,59,1
26,71,1
26,70,1
26,72,1
26,3,1
27,26,4
27,40,3
27,32,4
27,52,1
27,46,2
27,71,1
27,27,1
28,22,1
29,29,1
30,,5
31,14,7
31,39,4
31,41,2
31,3,2
31,65,1
31,15,7
32,27,4
32,40,5
32,26,6
32,48,1
32,52,1
32,66,1
32,71,1
32,46,4
33,33,2
34,34,1
35,35,3
36,26,1
37,37,1
38,26,6
39,31,4
39,14,4
39,41,1
39,15,4
40,33,5
40,27,3
40,46,4
40,52,1
40,71,1
40,54,1
40,75,1
40,26,6
41,15,1
41,31,2
41,39,1
42,26,3
43,3,1
43,70,1
43,49,1
44,51,2
44,43,1
44,49,2
44,53,1
44,61,1
44,3,1
45,45,1
46,32,4
46,40,4
46,48,1
46,52,1
46,27,2
46,66,1
46,71,1
46,26,4
47,26,1
48,32,1
48,46,1
49,43,1
49,44,2
49,51,1
49,53,1
49,26,1
49,3,1
50,72,1
50,26,2
51,44,2
51,53,2
51,55,1
51,59,1
51,26,2
51,61,1
51,60,1
51,63,1
51,64,1
51,49,1
52,32,1
52,46,1
52,27,1
52,40,1
52,26,1
53,51,2
53,55,1
53,61,1
53,44,1
53,70,1
53,49,1
54,40,1
54,26,2
55,51,1
55,53,1
55,49,1
56,56,1
57,57,1
58,58,1
59,51,1
59,60,1
59,64,1
59,26,1
60,59,1
60,51,1
60,26,1
61,51,1
61,44,1
61,53,1
61,33,1
62,26,1
63,70,1
63,51,1
64,59,1
64,51,1
64,26,1
65,31,1
65,14,1
65,3,1
66,32,1
66,46,1
67,67,1
68,3,1
69,69,1
70,43,1
70,53,1
70,63,1
70,26,1
71,32,1
71,46,1
71,27,1
71,40,1
71,26,1
72,50,1
72,26,1
73,26,1
74,74,1
75,40,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
